term	term_var	term_var_approved	explanation	 
ВАЖНО: технические строки 1–2 удалять из таблицы НЕ нужно, скачивайте прямо с ними. С маленькой буквы пишем основное наименование термина — основым будем считать тот вариант, который наиболее частотен, т.е. его скорее наберут пользователи (+ мы чаще используем в курсе). Термин может состоять из нескольких слов. Важно, чтобы в этой ячейке был записан один вариант термина.	Здесь через запятую с маленькой буквы прописываем синонимы и все варианты термина: даже те, которые как бы неправильные (project-manager), но которые могут ввести пользователи, дефисы тоже имеют значение. 	В предыдущей можно записывать весь шлак, а здесь сохранить действительно используемые варианты (их бот выведет в скобках после основного). Если таких вариантов нет, оставьте ячейку пустой. Совсем пустой, без пробелов.	Начинаем с тире (если определение) и заканчиваем точкой: пишем короткое и понятное объяснение, можно добавить хороший пример. в этой колонке всё должно быть оформлено красиво, сразу так, как мы будем выводить в сообщение пользователю.	
git	GIT, гит, гит-система, git-система, утилита		— это утилита, которая отслеживает историю изменения файлов в проекте. Ее используют для кода и других файлов. Например, для картинок. С помощью Git меняют версию проекта до более старой, сравнивают, анализируют и отправляют данные в репозиторий. Репозиторий — хранилище кода и история его изменений. 	
github	Github, гитхаб, совместная разработка, Гитхаб, GITHUB, Githab		— это крупнейший веб-сервис для хостинга IT-проектов и их совместной разработки. Веб-сервис основан на системе контроля версий Git и разработан на Ruby on Rails и Erlang. GitHub называют «социальной сетью для разработчиков». Кроме размещения кода, участники могут общаться, комментировать правки друг друга, следить за новостями знакомых, а также объединять свои репозитории. На сайте можно просмотреть файлы проектов с подсветкой синтаксиса для большинства языков программирования.	
ruby on rails	Ruby on Rails, руби он рэйлс, фреймворк, руби, руби он раилс		— это фреймворк, написанный на языке программирования Ruby. Реализует архитектурный шаблон MVC для веб-приложений, а также обеспечивает их интеграцию с веб-сервером и сервером баз данных. Является открытым программным обеспечением и распространяется под лицензией MIT. На Ruby on Rails написаны GitHub, GitLab, AirBnB, Shopify, Fiverr, Twitter, UCHI.ru, Aviasales. 	
ruby	Ruby, язык программирования, руби, рубин		— это высокоуровневый язык программирования. Он обладает независимой от операционной системы реализацией многопоточности, сильной динамической типизацией, сборщиком мусора и многими другими возможностями. Активно используется в веб-разработке, в системном администрировании и в работе операционных систем (Mac OS X, Linux, BSD).	
erlang	Erlang, эрланг, эрлэнг, язык программирования		— это функциональный язык программирования, который предназначен для создания распределённых вычислительных систем. Erlang был разработан для применения в распределённых, отказоустойчивых, параллельных системах реального времени, для которых, кроме средств самого языка, имеется стандартная библиотека модулей и библиотека шаблонных решений — фреймворк OTP (англ. Open Telecom Platform). Программа на Erlang транслируется в байт-код, исполняемый виртуальными машинами. Erlang-системы поддерживают горячую замену кода, что позволяет эксплуатировать оборудование безостановочно.	
библиотека	Библиотека, library, лайбрари, разработка по, динамическая библиотека, статическая библиотека		— это сборник подпрограмм или объектов, используемых для разработки программного обеспечения (ПО). С точки зрения операционной системы (ОС) и прикладного ПО, библиотеки разделяются на динамические и статические. Динамическая библиотека — файл, содержащий машинный код. Загружается в память процесса загрузчиком программ операционной системы либо при создании процесса, либо по запросу уже работающего процесса, то есть динамически. Статическая библиотека — объектный файл в виде файла (нередко может быть поставлен вместе с исходным кодом), код из которого выборочно или полностью вставляется в программу на этапе компоновки.	
по	ПО, программное обеспечение, программа, управление компьютером, software, hardware	от англ. software — «‎‎программное обеспечение»	— это программа или множество программ, которые используют для управления компьютером. Перечни программ, библиотеки программ, а также пособия для пользователей и программистов – все это относится к программному обеспечению, так как они более изменчивы и непостоянны, нежели материальные части компьютерных систем, называемые "железом" (hardware).	
ос	ОС, операционная система, OS, operating system, Microsoft Windows, Linux, MacOS, Unix	от англ. operating system, OS	— это системный комплекс взаимосвязанных программ, который служит посредником при организации диалога пользователя с компьютером, управляет распределением и использованием компьютерных ресурсов, руководит работой всех аппаратных средств компьютера. Самыми популярными ОС в настоящий момент являются: Microsoft Windows, Linux, MacOS, Unix. Операционные системы подразделяются по областям использования, а также по специфике реализации процессов управления ресурсами компьютера.	
фреймворк	framework, Фреймворк, построение архитектуры приложения	от англ. framework — «‎‎каркас»	— это платформа для разработки веб-сайтов и приложений. Это шаблон для разработчиков, который необходимо дополнить бизнес-логикой проекта, оригинальными изображениями и базами данных, чтобы получить новый продукт. Фреймворки позволяют справиться с практически любой задачей проекта. Базовая часть функционала уже входит в их структуру, то есть веб-приложение уже знает основные правила по работе с файлами, базами данных и т. д. Это делает работу над проектом более легкой, чем при создании проекта с нуля. Преимущества, которые дает такой тип разработки: 1. Минимизация рутинных задач. Благодаря этому программист может сосредоточиться на уникальных механизмах и функциональности проекта. 2. Быстрая разработка веб-приложения. Разработчик тратит меньше времени на написание кода и тестирование функций. 3. Высокая скорость работы сайта. Сайты на CMS (content management system) тормозят работу сайта, если вынуждены работать с объемными базами данных. При фреймворках такая проблема не возникает. Проекты легко масштабировать. 4. Постоянная работа с безопасностью. Создатели фреймворков следят за отсутствием уязвимых мест. 5. Легкость доработки. Часть кода, которая является шаблоном, повторяется из проекта в проект, поэтому его архитектура знакома разработчикам.	
